tool,model,avg_duration,n
urn:mcp:tool:groq.generate_jsonld,llama-3.3-70b-versatile,0.4217410000000000103170805232,10
urn:mcp:tool:groq.generate_jsonld,openai/gpt-oss-120b,0.4217410000000000103170805232,10
urn:mcp:tool:groq.generate_jsonld,openai/gpt-oss-20b,0.4217410000000000103170805232,10
urn:mcp:tool:llm.rankEntities,llama-3.3-70b-versatile,0.3081061090909090890735652382,55
urn:mcp:tool:llm.rankEntities,openai/gpt-oss-120b,0.3081061090909090890735652382,55
urn:mcp:tool:llm.rankEntities,openai/gpt-oss-20b,0.3081061090909090890735652382,55
urn:mcp:tool:summarize_rdf_ttl,llama-3.3-70b-versatile,1.156934672727273168261903761,165
urn:mcp:tool:summarize_rdf_ttl,openai/gpt-oss-120b,1.183578922580645557020268884,155
urn:mcp:tool:summarize_rdf_ttl,openai/gpt-oss-20b,1.175991703448276494186600381,145
urn:mcp:tool:wikidata.schemaWalk,llama-3.3-70b-versatile,1.343066109090909259810525162,55
urn:mcp:tool:wikidata.schemaWalk,openai/gpt-oss-120b,1.343066109090909259810525162,55
urn:mcp:tool:wikidata.schemaWalk,openai/gpt-oss-20b,1.343066109090909259810525162,55
urn:mcp:tool:wikidata.searchEntities,llama-3.3-70b-versatile,0.2113418000000000967537000013,55
urn:mcp:tool:wikidata.searchEntities,openai/gpt-oss-120b,0.2113418000000000967537000013,55
urn:mcp:tool:wikidata.searchEntities,openai/gpt-oss-20b,0.2113418000000000967537000013,55
