Entity label: A Grand Day Out
Entity IRI: http://metaqa.org/entity/a_grand_day_out
Appears as anchor in 1 MetaQA question(s)
Local graph context:
A Grand Day Out | directed_by | nick_park
A Grand Day Out | has_genre | animation
A Grand Day Out | has_genre | short
A Grand Day Out | has_tags | aardman
A Grand Day Out | has_tags | british
A Grand Day Out | has_tags | cheese
A Grand Day Out | has_tags | holiday
A Grand Day Out | has_tags | moon
A Grand Day Out | has_tags | nick_park
A Grand Day Out | has_tags | rocket
A Grand Day Out | has_tags | short
A Grand Day Out | has_tags | stop_motion
A Grand Day Out | has_tags | wallace_and_gromit
A Grand Day Out | release_year | 1989
A Grand Day Out | written_by | nick_park
A Grand Day Out | label | A Grand Day Out
