Entity label: Flirting with Disaster
Entity IRI: http://metaqa.org/entity/flirting_with_disaster
Appears as anchor in 1 MetaQA question(s)
Local graph context:
Flirting with Disaster | directed_by | david_o_russell
Flirting with Disaster | has_genre | comedy
Flirting with Disaster | has_tags | ben_stiller
Flirting with Disaster | has_tags | david_o_russell
Flirting with Disaster | has_tags | patricia_arquette
Flirting with Disaster | release_year | 1996
Flirting with Disaster | starred_actors | ben_stiller
Flirting with Disaster | starred_actors | mary_tyler_moore
Flirting with Disaster | starred_actors | patricia_arquette
Flirting with Disaster | starred_actors | ta_leoni
Flirting with Disaster | written_by | david_o_russell
Flirting with Disaster | label | Flirting with Disaster
