Entity label: Hello, Dolly!
Entity IRI: http://metaqa.org/entity/hello_dolly
Appears as anchor in 1 MetaQA question(s)
Local graph context:
Hello, Dolly! | directed_by | gene_kelly
Hello, Dolly! | has_genre | comedy
Hello, Dolly! | has_genre | musical
Hello, Dolly! | has_tags | broadway
Hello, Dolly! | has_tags | gene_kelly
Hello, Dolly! | release_year | 1969
Hello, Dolly! | starred_actors | barbra_streisand
Hello, Dolly! | starred_actors | marianne_mcandrew
Hello, Dolly! | starred_actors | michael_crawford
Hello, Dolly! | starred_actors | walter_matthau
Hello, Dolly! | written_by | ernest_lehman
Hello, Dolly! | label | Hello, Dolly!
