Entity label: Metropolis
Entity IRI: http://metaqa.org/entity/metropolis
Appears as anchor in 1 MetaQA question(s)
Local graph context:
Metropolis | directed_by | fritz_lang
Metropolis | directed_by | rintaro
Metropolis | has_genre | animation
Metropolis | has_tags | animation
Metropolis | has_tags | anime
Metropolis | has_tags | bd-r
Metropolis | has_tags | dystopia
Metropolis | has_tags | fritz_lang
Metropolis | has_tags | music
Metropolis | has_tags | science_fiction
Metropolis | has_tags | silent_film
Metropolis | has_tags | tezuka
Metropolis | in_language | german
Metropolis | release_year | 1927
Metropolis | release_year | 2001
Metropolis | starred_actors | alfred_abel
Metropolis | starred_actors | gustav_frhlich
Metropolis | written_by | osamu_tezuka
Metropolis | written_by | thea_von_harbou
Metropolis | label | Metropolis
