Entity label: Red Dragon
Entity IRI: http://metaqa.org/entity/red_dragon
Appears as anchor in 1 MetaQA question(s)
Local graph context:
Red Dragon | directed_by | brett_ratner
Red Dragon | has_genre | crime
Red Dragon | has_genre | thriller
Red Dragon | has_tags | anthony_hopkins
Red Dragon | has_tags | brett_ratner
Red Dragon | has_tags | edward_norton
Red Dragon | has_tags | emily_watson
Red Dragon | has_tags | fbi
Red Dragon | has_tags | hannibal_lecter
Red Dragon | has_tags | harvey_keitel
Red Dragon | has_tags | philip_seymour_hoffman
Red Dragon | has_tags | r
Red Dragon | has_tags | ralph_fiennes
Red Dragon | has_tags | remake
Red Dragon | has_tags | serial_killer
Red Dragon | release_year | 2002
Red Dragon | starred_actors | anthony_hopkins
Red Dragon | starred_actors | edward_norton
Red Dragon | starred_actors | harvey_keitel
Red Dragon | starred_actors | ralph_fiennes
Red Dragon | written_by | ted_tally
Red Dragon | written_by | thomas_harris
Red Dragon | label | Red Dragon
