Entity label: The Arrival
Entity IRI: http://metaqa.org/entity/the_arrival
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The Arrival | directed_by | david_twohy
The Arrival | has_tags | charlie_sheen
The Arrival | has_tags | conspiracy
The Arrival | has_tags | david_twohy
The Arrival | has_tags | teri_polo
The Arrival | release_year | 1996
The Arrival | starred_actors | charlie_sheen
The Arrival | starred_actors | lindsay_crouse
The Arrival | starred_actors | richard_schiff
The Arrival | written_by | david_twohy
The Arrival | label | The Arrival
