Entity label: The Secret Life of Walter Mitty
Entity IRI: http://metaqa.org/entity/the_secret_life_of_walter_mitty
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The Secret Life of Walter Mitty | directed_by | ben_stiller
The Secret Life of Walter Mitty | directed_by | norman_z_mcleod
The Secret Life of Walter Mitty | has_genre | adventure
The Secret Life of Walter Mitty | has_genre | comedy
The Secret Life of Walter Mitty | has_genre | drama
The Secret Life of Walter Mitty | has_tags | bd-r
The Secret Life of Walter Mitty | has_tags | ben_stiller
The Secret Life of Walter Mitty | has_tags | danny_kaye
The Secret Life of Walter Mitty | has_tags | norman_z_mcleod
The Secret Life of Walter Mitty | in_language | english
The Secret Life of Walter Mitty | release_year | 1947
The Secret Life of Walter Mitty | release_year | 2013
The Secret Life of Walter Mitty | starred_actors | ben_stiller
The Secret Life of Walter Mitty | starred_actors | danny_kaye
The Secret Life of Walter Mitty | starred_actors | virginia_mayo
The Secret Life of Walter Mitty | written_by | everett_freeman
The Secret Life of Walter Mitty | written_by | james_thurber
The Secret Life of Walter Mitty | written_by | ken_englund
The Secret Life of Walter Mitty | label | The Secret Life of Walter Mitty
