Entity label: This Property Is Condemned
Entity IRI: http://metaqa.org/entity/this_property_is_condemned
Appears as anchor in 1 MetaQA question(s)
Local graph context:
This Property Is Condemned | directed_by | sydney_pollack
This Property Is Condemned | has_genre | drama
This Property Is Condemned | has_tags | sydney_pollack
This Property Is Condemned | has_tags | tennessee_williams
This Property Is Condemned | release_year | 1966
This Property Is Condemned | starred_actors | charles_bronson
This Property Is Condemned | starred_actors | kate_reid
This Property Is Condemned | starred_actors | natalie_wood
This Property Is Condemned | starred_actors | robert_redford
This Property Is Condemned | written_by | francis_ford_coppola
This Property Is Condemned | written_by | fred_coe
This Property Is Condemned | written_by | tennessee_williams
This Property Is Condemned | label | This Property Is Condemned
